unit_id,num_spikes,firing_rate,presence_ratio,snr,isi_violations_ratio,isi_violations_count,sliding_rp_violation,amplitude_cutoff,amplitude_median,amplitude_cv_median,amplitude_cv_range,sync_spike_2,sync_spike_4,sync_spike_8,firing_range,drift_ptp,drift_std,drift_mad,sd_ratio,isolation_distance,l_ratio,d_prime,silhouette,nn_hit_rate,nn_miss_rate,peak_to_valley,peak_trough_ratio,half_width,repolarization_slope,recovery_slope,num_positive_peaks,num_negative_peaks
84,128.0,0.07111032,0.96666664,4.614762,0.0,0.0,,,-69.236755,,,0.0078125,0.0,0.0,0.2,,,,,71.107315,0.17582193,1.3929826,0.013017953,0.38476562,0.2410072,0.00101,-0.058425006,0.00016,235749.02,-8268.423,1.0,1.0
85,1201.0,0.6672148,1.0,2.4316843,0.0,0.0,0.145,0.026749821,-18.882751,0.6632932,0.2268433,0.028309742,0.0,0.0,0.6,,,,,910.67786,0.11353269,1.940825,0.09957773,0.8535,0.2733918,0.00187,-0.0729801,0.00026,35333.727,-14824.712,0.0,1.0
86,154.0,0.08555461,1.0,2.7040532,0.0,0.0,,,-25.177002,,,0.019480519,0.0,0.0,0.4,,,,,112.240585,0.055180177,3.2270536,0.18058766,0.6201299,0.07776163,0.00195,-0.08857967,0.00024,36482.215,-21704.97,0.0,1.0
87,52.0,0.028888568,0.8333333,2.4250054,0.0,0.0,,,-18.882751,,,0.115384616,0.0,0.0,0.2,,,,,225.47636,0.017267711,2.205902,0.13135743,0.26923078,0.02943038,0.00179,-0.13586211,0.00025,55671.707,-21023.357,0.0,1.0
88,2436.0,1.3533183,1.0,18.140427,0.0,0.0,0.035,0.004347588,-276.94702,0.15627477,0.05768089,0.013546798,0.0,0.0,1.0,,,,,732.863,0.024819288,6.683968,0.2248451,0.966,0.03141026,0.00192,-0.008394337,0.00023,71763.164,-19623.084,0.0,1.0
89,33.0,0.01833313,0.4,19.608746,0.0,0.0,,,-283.24127,,,0.030303031,0.0,0.0,0.2,,,,,1.6040582e+16,,4.376014,0.060376707,0.31060606,0.014434643,0.00203,-0.0021333683,0.00022,56086.51,-8066.3936,0.0,1.0
90,14.0,0.0077776914,0.33333334,19.572248,0.0,0.0,,,-283.24127,,,0.0,0.0,0.0,0.0,,,,,3.1120815e+16,,4.5123363,0.06628623,0.14285715,0.007306477,0.00183,-0.005374795,0.00022,65515.68,-5427.788,0.0,1.0
91,7.0,0.0038888457,0.2,3.533042,0.0,0.0,,,-37.765503,,,0.0,0.0,0.0,0.0,,,,,7.660546e+16,,9.913095,0.34483388,0.39285713,0.0,7e-05,0.14181037,1e-04,,,4.0,0.0
92,319.0,0.17722026,1.0,2.5499516,0.0,0.0,,,-37.765503,,,0.015673982,0.0,0.0,0.8,,,,,62.258892,0.5311419,5.170536,0.04128574,0.08777429,0.0031666667,0.00143,0.042875156,0.00168,,,1.0,1.0
93,1164.0,0.6466595,1.0,5.3082414,0.0,0.0,0.155,0.0070296964,-94.41376,0.25691167,0.12408839,0.012027492,0.0,0.0,1.4,,,,,192.79642,8.5285157e-10,5.566727,0.049656,0.1,0.0013267627,0.00106,-0.03486964,0.00017,353617.62,-115.151405,1.0,1.0
96,1.0,0.0005555494,0.033333335,3.6458907,0.0,0.0,,,-62.942505,,,0.0,0.0,0.0,0.0,,,,,,,12.276187,1.0,0.0,0.00015037594,0.00109,-0.4244036,0.0002,202875.98,-26882.246,5.0,1.0
97,464.0,0.25777492,1.0,1.9932626,0.0,0.0,,,-31.471252,,,0.01724138,0.0,0.0,0.6,,,,,754.19763,0.0,21.385979,0.21983778,0.9978448,0.001,0.00183,0.0070124953,0.00065,,,1.0,1.0
98,2.0,0.0011110988,0.06666667,1.9837933,0.0,0.0,,,-22.029877,,,0.0,0.0,0.0,0.0,,,,,,,5.4421315,0.31336427,0.0,0.0,0.00209,0.050143775,0.00294,,,0.0,7.0
108,367.0,0.20388663,1.0,4.0218244,0.0,0.0,,,-62.942505,,,0.029972753,0.0,0.0,0.6,,,,,,,,,,,0.00029,-0.13458236,0.00015,470796.75,-15666.691,1.0,1.0
109,610.0,0.33888513,1.0,2.6239843,0.0,0.0,,0.0008465776,-31.471252,0.5308964,0.1169478,0.019672131,0.0,0.0,0.8,,,,,,,,,,,0.00172,0.018676702,0.00068,,,1.0,1.0
110,399.0,0.2216642,1.0,0.43490693,0.0,0.0,,,6.2942505,,,0.015037594,0.0,0.0,0.4,,,,,47.79056,2.7142127,1.2185546,0.001871787,0.11466166,0.054814253,0.00033,0.019959947,0.00023,,,0.0,6.0
111,523.0,0.29055232,1.0,0.12094298,0.0,0.0,,0.014355226,6.2942505,2.834825,0.8374171,0.0114722755,0.0,0.0,0.6,,,,,426.59427,0.0,10.043895,0.138626,0.9925,0.024289984,0.00062,-0.2578545,0.00154,1166.612,-120.76493,1.0,7.0
112,87.0,0.048332796,0.3,4.9743347,0.0,0.0,,,-81.82526,,,0.022988506,0.0,0.0,0.41,,,,,100.42567,0.02898818,2.969709,0.09838745,0.46551725,0.022115385,0.00033,-0.088512525,0.00015,448096.66,-8647.485,1.0,1.0
113,784.0,0.43555072,1.0,5.2181354,0.0,0.0,0.34,0.0049621323,-88.11951,0.2165164,0.088642314,0.024234693,0.0,0.0,0.8,,,,,141.84544,0.07607378,3.5218,0.157975,0.847,0.15988836,0.00033,-0.019645363,0.00017,385613.2,-3620.156,1.0,1.0
114,5.0,0.0027777469,0.16666667,1.6602827,0.0,0.0,,,-25.177002,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.00182,0.062597916,0.00296,,,0.0,6.0
115,25.0,0.013888734,0.5,1.1375179,0.0,0.0,,,-12.588501,,,0.0,0.0,0.0,0.2,,,,,1.7130537e+17,,11.663282,0.2021487,0.93,0.0022686026,0.00168,0.032895073,0.00194,,,1.0,4.0
117,5168.0,2.8710792,1.0,0.11445887,11.61453,517.0,,0.0036608789,6.2942505,2.4625866,1.0318072,0.021671826,0.0,0.0,1.0,0.94601446,0.20810613,0.15133683,,4085.809,0.23018308,2.5894148,0.0071974597,0.65,0.14544025,0.00147,-1.0640333,0.00264,58.71449,-21248.635,1.0,8.0
118,88.0,0.048888344,0.96666664,0.11005662,0.0,0.0,,,6.2942505,,,0.26136363,0.0,0.0,0.2,,,,,40.101646,0.74221635,1.7721869,0.006089719,0.10511363,0.04067696,0.00134,-2.4238389,0.00241,9631.569,-51783.562,1.0,3.0
119,92.0,0.051110543,0.8666667,0.2147056,0.0,0.0,,,6.2942505,,,0.02173913,0.0,0.0,0.2,,,,,39.14355,0.7635001,1.7482265,0.009481871,0.08423913,0.04970238,0.00139,-0.059288606,0.00283,587.55396,824.07007,0.0,9.0
122,43.0,0.023888623,0.6666667,0.35293075,0.0,0.0,,,-9.094947e-08,,,0.0,0.0,0.0,0.2,,,,,91.367386,0.0068590594,1.5454739,0.0064318893,0.017441861,0.030942742,0.00054,-0.51583916,0.00267,4899.3804,-25855.34,0.0,6.0
123,43.0,0.023888623,0.6,0.4444313,0.0,0.0,,,6.2942505,,,0.0,0.0,0.0,0.2,,,,,76.74081,0.009283884,1.7461681,0.008931858,0.075581394,0.027761713,0.00285,-0.5839384,0.00277,1031.1101,-32655.555,1.0,5.0
